make,year,vehicle_numbers,vehicle_percentage_of_total
RELIANT,2021,4286,0.01%
LEYLAND,2021,4271,0.01%
LEYLAND,2020,4262,0.01%
RELIANT,2022,4257,0.01%
OPTARE,2020,4194,0.01%
RELIANT,2020,4191,0.01%
ROYAL ALLOY,2022,4188,0.01%
LEVC,2020,4164,0.01%
LEYLAND,2022,4159,0.01%
LAMBORGHINI,2021,4105,0.01%
WRIGHTBUS,2021,4097,0.01%
SINNIS,2019,4089,0.01%
OPEL,2018,4033,0.01%
LEYLAND DAF,2020,4030,0.01%
OPTARE,2021,3989,0.01%
DAEWOO,2021,3977,0.01%
AUSTIN HEALEY,2022,3956,0.01%
MCC,2021,3925,0.01%
AUSTIN HEALEY,2021,3901,0.01%
PERODUA,2019,3892,0.01%
CAN-AM,2022,3867,0.01%
WRIGHTBUS,2020,3827,0.01%
AUSTIN HEALEY,2020,3816,0.01%
HUSQVARNA,2018,3814,0.01%
MAXUS,2021,3788,0.01%
AUSTIN HEALEY,2019,3764,0.01%
CAN-AM,2021,3743,0.01%
PROTON,2021,3722,0.01%
LAMBORGHINI,2020,3662,0.01%
LEYLAND DAF,2021,3636,0.01%
AUSTIN HEALEY,2018,3624,0.01%
WRIGHTBUS,2019,3612,0.01%
PERODUA,2020,3554,0.01%
OPTARE,2022,3547,0.01%
CAN-AM,2020,3501,0.01%
LAMBORGHINI,2019,3464,0.01%
SINNIS,2018,3439,0.01%
GILERA,2018,3420,0.01%
CFMOTO,2022,3414,0.01%
VMOTO,2022,3412,0.01%
MCC,2022,3367,0.01%
ROYAL ALLOY,2021,3357,0.01%
INDIAN,2022,3340,0.01%
WRIGHTBUS,2018,3323,0.01%
LEVC,2019,3297,0.01%
HILLMAN,2022,3294,0.01%
OPEL,2019,3287,0.01%
HILLMAN,2021,3276,0.01%
DEUTZ FAHR,2022,3274,0.01%
HILLMAN,2020,3266,0.01%
RANSOME,2018,3250,0.01%
DEUTZ FAHR,2021,3248,0.01%
RANSOME,2019,3237,0.01%
PERODUA,2021,3230,0.01%
HILLMAN,2019,3229,0.01%
MUTT,2022,3222,0.01%
BENELLI,2020,3197,0.01%
LEYLAND DAF,2022,3162,0.01%
DEUTZ FAHR,2020,3155,0.01%
CAN-AM,2019,3151,0.01%
HILLMAN,2018,3134,0.01%
DEUTZ FAHR,2019,3130,0.01%
BETA,2022,3122,0.01%
DEUTZ FAHR,2018,3097,0.01%
RANSOME,2020,3089,0.01%
LAMBORGHINI,2018,3051,0.01%
WOLSELEY,2019,3037,0.01%
RANSOME,2021,3035,0.01%
WOLSELEY,2022,3031,0.01%
WOLSELEY,2021,3014,0.01%
WOLSELEY,2018,3007,0.01%
WOLSELEY,2020,3003,0.01%
PROTON,2022,2978,0.01%
AUTO-TRAIL,2018,2962,0.01%
INDIAN,2021,2946,0.01%
PERODUA,2022,2946,0.01%
GILERA,2019,2933,0.01%
DAEWOO,2022,2918,0.01%
AUTO-TRAIL,2019,2909,0.01%
RANSOME,2022,2899,0.01%
ZONTES,2022,2794,0.01%
AUSTIN MORRIS,2022,2792,0.01%
AUTO-TRAIL,2021,2791,0.01%
BETA,2021,2781,0.01%
OPEL,2020,2781,0.01%
AUTO-TRAIL,2022,2780,0.01%
CAN-AM,2018,2770,0.01%
CFMOTO,2021,2759,0.01%
MCLAREN,2021,2755,0.01%
GILERA,2020,2741,0.01%
MCLAREN,2022,2729,0.01%
AUTO-TRAIL,2020,2697,0.01%
MUTT,2021,2651,0.01%
LML,2018,2644,0.01%
WACKER NEUSON,2022,2632,0.01%
OTHER COUNTRIES,2018,2628,0.01%
OTHER COUNTRIES,2019,2620,0.01%
SAME,2018,2584,0.01%
NUFFIELD,2020,2583,0.01%
NUFFIELD,2022,2574,0.01%
OTHER COUNTRIES,2021,2573,0.01%
MCLAREN,2020,2567,0.01%
OTHER COUNTRIES,2020,2567,0.01%
NUFFIELD,2021,2556,0.01%
SAME,2019,2547,0.01%
OTHER COUNTRIES,2022,2546,0.01%
NUFFIELD,2019,2542,0.01%
SAME,2020,2532,0.01%
NUFFIELD,2018,2528,0.01%
SAME,2021,2528,0.01%
QINGQI,2018,2498,0.01%
DAF,2018,2486,0.01%
MCLAREN,2019,2484,0.01%
SAME,2022,2467,0.01%
CATERHAM,2018,2460,0.01%
GILERA,2021,2459,0.01%
ROYAL ALLOY,2020,2431,0.01%
CATERHAM,2019,2420,0.01%
VMOTO,2021,2411,0.01%
CATERHAM,2022,2405,0.01%
CASE,2018,2385,0.01%
OPEL,2021,2384,0.01%
CATERHAM,2021,2377,0.01%
AUSTIN MORRIS,2021,2364,0.01%
CASE,2019,2362,0.01%
LML,2019,2350,0.01%
INDIAN,2020,2346,0.01%
BOMAG,2018,2335,0.01%
CASE,2020,2331,0.01%
FODEN,2018,2331,0.01%
BOMAG,2019,2321,0.01%
BETA,2020,2309,0.01%
CASE,2021,2301,0.01%
DAF,2019,2293,0.01%
CATERHAM,2020,2290,0.01%
